15348,15293
3,13
118,117
117,118
122,117
121,117
121,122
122,121
125,117
121,125
145,142
142,145
182,186
185,187
2,195
222,223
230,229
233,223
233,234
234,233
234,223
239,142
241,240
242,139
242,241
282,281
281,283
283,281
282,283
183,284
286,284
334,335
335,334
338,334
335,338
339,338
339,335
335,340
6,7
335,361
365,361
373,365
394,393
393,394
395,396
399,395
399,396
400,399
400,396
399,400
411,419
425,419
400,13
452,451
458,395
451,452
489,487
487,489
491,489
487,492
494,496
496,494
494,487
496,487
515,487
516,514
515,514
515,516
514,515
514,516
516,515
525,524
524,525
516,524
524,516
525,516
525,13
538,516
538,8
538,514
540,516
537,540
540,537
397,554
555,554
556,555
558,557
571,194
571,340
589,585
591,590
590,591
613,612
612,613
613,614
616,613
616,614
616,612
614,612
618,614
614,618
632,631
635,634
634,636
638,639
639,638
640,639
640,638
641,639
641,638
642,639
642,641
641,642
658,657
657,658
659,657
659,658
660,657
659,660
661,657
657,661
742,395
745,742
745,487
1075,1074
1074,1075
1078,1074
1192,1191
1468,1467
1503,1504
1504,1503
1467,1509
1515,1504
1468,1663
1674,1672
1674,1676
1468,1679
1468,1897
1897,1468
1913,1912
1912,1913
1914,1912
1914,1913
1693,1964
1844,2062
2071,2070
2070,2071
2069,2070
1844,2267
2276,2275
2275,2276
2297,516
1844,2429
2429,1844
2431,516
2437,2431
2437,2438
8,3454
3958,3957
1693,4188
19355,19850
3,6
19355,20404
21075,21074
2,3
6,3
24043,24042
27286,27287
5544,1
2,1
13,40741
43691,33982
7959,7956
8090,8088
8088,8090
8315,7
50380,9075
8315,8321
8321,8315
43691,1964
13303,1
8632,8625
13303,49052
9075,9078
9075,9089
13,2070
9092,13
9075,9092
9506,9503
43691,235102
9503,9506
9503,9515
9515,9503
9929,13
235102,43691
9929,9950
9950,9929
9929,9953
9953,9929
48608,12
10277,10281
312778,18985
10277,10282
661191,572701
10624,10634
50262,395
11978,11990
11978,11992
12079,395
12,12372
7244,395
12444,13
12443,12444
12444,12443
477650303,1964
12443,12454
12443,12455
477650303,18985
477650303,27447
12985,12986
12985,12991
477650303,15642
13433,13431
477650303,13721
13431,13433
477650303,29243
38872,12490
38872,399
38872,343099033
13810,13821
14183,13
1848109658,1964
14183,14189
1848109658,27447
14376,14366
1848109658,29243
1848109658,18985
14848,14851
7244,398
50419,16484
50419,224870
50419,531551
50419,13
13,1
1843120442,29243
1843120442,1964
1843120442,27447
1843120442,18985
331962979,15642
331962979,1964
331962979,29239
331962979,27447
331962979,18985
331962979,29243
1780200386,1964
1780200386,27447
1780200386,29243
1780200386,18985
2129357411,1964
2129357411,27447
2129357411,18985
2129357411,29243
2129357411,19702
2129357411,18168
1366154904,341
1366154904,1964
1366154904,18985
1366154904,29243
1366154904,13721
1366154904,27447
1622178868,27447
1622178868,13721
1622178868,29243
1622178868,15642
1622178868,1964
1622178868,18985
2007503825,1964
2007503825,15642
2007503825,18168
2007503825,18985
2007503825,29243
2007503825,27447
356584273,27447
356584273,29239
356584273,18985
356584273,29243
356584273,1964
356584273,19702
1342872116,18985
1342872116,29243
1342872116,1964
1342872116,29239
1342872116,15642
1342872116,27447
1036289743,29243
1036289743,15642
1036289743,18985
1036289743,1964
1036289743,27447
1036289743,2599
999800044,1964
999800044,29243
999800044,18985
999800044,27447
999800044,37103
2024603001,18985
2024603001,29243
2024603001,13721
2024603001,27447
2024603001,29239
2024603001,1964
87844872,1964
87844872,29243
87844872,27447
87844872,2599
87844872,18168
87844872,18985
834570842,1964
834570842,19702
834570842,18985
834570842,29243
834570842,27447
834570842,341
41543777,1964
41543777,18985
41543777,29243
41543777,27447
41543777,2599
41543777,18168
1664208862,27447
1664208862,2599
1664208862,29243
1664208862,18985
1664208862,29239
1664208862,1964
753698736,1964
753698736,29243
753698736,15642
753698736,18985
753698736,27447
753698736,18168
344572975,27447
344572975,15642
344572975,29243
344572975,18985
344572975,29239
344572975,1964
309400147,15642
309400147,18985
309400147,29239
309400147,29243
309400147,1964
309400147,27447
1560075160,1964
1560075160,27447
1560075160,18985
1560075160,18168
1560075160,341
1560075160,29243
1760937720,18985
1760937720,19702
1760937720,1964
1760937720,27447
1760937720,29243
1760937720,341
49052,29203
49052,235102
119143174,1964
202193106,15642
202193106,27447
202193106,1964
202193106,29239
202193106,18168
202193106,18985
202193106,341
202193106,19702
202193106,29243
202193106,2599
